datetime,open,close,volume,MACD,ATREMA,fed,usdx
1/2/2020,3244.67,3257.85,1.92E+09,169.72148,20.983839,1.55,96.85 
1/3/2020,3226.36,3234.85,1.92E+09,193.4692,25.825893,1.55,96.84 
1/6/2020,3217.55,3246.28,2.04E+09,136.929,27.950595,1.55,96.67 
1/7/2020,3241.86,3237.18,1.90E+09,164.73712,23.250397,1.55,96.98 
1/8/2020,3238.59,3253.05,2.07E+09,214.0101,25.633598,1.55,97.30 
1/9/2020,3266.03,3274.7,2.02E+09,215.7443,24.599065,1.55,97.45 
1/13/2020,3271.13,3288.13,1.92E+09,147.10957,22.966043,1.54,97.35 
1/14/2020,3285.35,3283.15,2.04E+09,174.71428,20.997362,1.54,97.37 
1/15/2020,3282.27,3289.29,2.07E+09,174.73607,19.988242,1.54,97.23 
1/16/2020,3302.97,3316.81,1.96E+09,211.07532,22.598828,1.54,97.32 
1/17/2020,3323.66,3329.62,2.06E+09,211.24323,19.422552,1.55,97.61 
1/21/2020,3321.03,3320.79,2.28E+09,88.790079,17.341701,1.55,97.53 
1/22/2020,3330.02,3321.75,2.01E+09,227.4518,17.471134,1.55,97.53 
1/23/2020,3315.77,3325.54,2.09E+09,233.19642,19.984089,1.55,97.69 
1/24/2020,3333.1,3295.47,2.06E+09,200.55337,30.539393,1.55,97.85 
1/27/2020,3247.16,3243.63,2.12E+09,133.41062,40.682929,1.55,97.96 
1/28/2020,3255.35,3276.24,1.96E+09,170.61867,41.171952,1.55,98.02 
1/29/2020,3289.46,3273.4,1.99E+09,225.34332,34.641302,1.55,97.99 
1/30/2020,3256.45,3283.66,2.10E+09,208.21874,37.464201,1.6,97.87 
1/31/2020,3282.33,3225.52,2.52E+09,187.19809,47.969467,1.59,97.39 
2/3/2020,3235.66,3248.92,2.09E+09,99.793602,46.286312,1.59,97.80 
2/4/2020,3280.61,3297.59,2.22E+09,159.80568,50.190874,1.59,97.96 
2/5/2020,3324.91,3334.69,2.29E+09,215.38417,46.790583,1.59,98.27 
2/6/2020,3344.92,3345.78,2.15E+09,225.86473,35.717055,1.59,98.50 
2/7/2020,3335.54,3327.71,2.07E+09,196.44776,31.698037,1.58,98.68 
2/10/2020,3318.28,3352.09,1.92E+09,116.7366,32.628691,1.58,98.83 
2/11/2020,3365.87,3357.75,2.09E+09,159.57359,29.599127,1.58,98.72 
2/12/2020,3370.5,3379.45,2.18E+09,216.98497,27.639418,1.58,99.05 
2/13/2020,3365.9,3373.94,1.94E+09,227.30826,26.616279,1.58,99.07 
2/14/2020,3378.08,3380.16,1.89E+09,202.68835,22.590853,1.58,99.12 
2/18/2020,3369.04,3370.29,2.08E+09,105.66797,23.243902,1.59,99.46 
2/19/2020,3380.39,3386.15,2.00E+09,196.37994,23.239268,1.59,99.60 
2/20/2020,3380.45,3373.23,2.23E+09,231.25337,31.536179,1.59,99.87 
2/21/2020,3360.5,3337.75,2.17E+09,231.8213,35.950786,1.58,99.26 
2/24/2020,3257.61,3225.89,2.69E+09,139.86542,65.000524,1.58,99.29 
2/25/2020,3238.94,3128.21,3.11E+09,171.765,86.073683,1.58,98.97 
2/26/2020,3139.9,3116.39,3.04E+09,216.84437,81.889122,1.58,99.00 
2/27/2020,3062.54,2978.76,3.92E+09,207.60047,100.92608,1.58,98.44 
2/28/2020,2916.9,2954.22,4.76E+09,177.16077,108.25739,1.58,98.13 
3/2/2020,2974.28,3090.23,3.54E+09,190.28236,120.76159,1.59,97.36 
3/3/2020,3096.46,3003.37,3.53E+09,110.34199,133.87106,1.59,97.15 
3/4/2020,3045.75,3130.12,2.80E+09,182.28763,131.78071,1.09,97.34 
3/5/2020,3075.7,3023.94,3.10E+09,207.92001,131.2838,1.09,96.82 
3/6/2020,2954.2,2972.37,3.64E+09,217.6008,128.32254,1.09,95.95 
3/9/2020,2863.89,2746.56,4.68E+09,136.13937,164.86169,1.09,94.90 
3/10/2020,2813.48,2882.23,4.24E+09,122.38411,159.43779,1.09,96.41 
3/11/2020,2825.6,2741.38,4.10E+09,146.11792,164.62853,1.09,96.51 
3/12/2020,2630.86,2480.64,4.91E+09,165.15105,197.25902,1.1,97.47 
3/13/2020,2569.99,2711.02,4.59E+09,204.67882,208.40268,1.1,98.75 
3/16/2020,2508.59,2386.13,4.32E+09,108.11334,248.96179,0.25,98.09 
3/17/2020,2425.66,2529.19,4.64E+09,84.331896,228.27119,0.25,99.58 
3/18/2020,2436.5,2398.1,4.86E+09,120.07268,235.07079,0.25,101.16 
3/19/2020,2393.48,2409.39,4.42E+09,160.41071,205.7772,0.2,102.76 
3/20/2020,2431.94,2304.92,5.03E+09,168.56093,189.66813,0.15,102.82 
3/23/2020,2290.71,2237.4,4.11E+09,81.409974,164.13209,0.15,102.49 
3/24/2020,2344.44,2447.33,4.19E+09,74.60159,180.19139,0.12,101.74 
3/25/2020,2457.77,2475.56,4.60E+09,103.94821,174.75759,0.1,101.05 
3/26/2020,2501.29,2630.07,4.31E+09,176.55129,170.32173,0.1,99.42 
3/27/2020,2555.87,2541.47,3.44E+09,185.66921,150.23115,0.1,98.37 
3/30/2020,2558.98,2626.65,3.19E+09,82.100629,130.2641,0.09,99.18 
3/31/2020,2614.69,2584.59,3.65E+09,101.09936,110.25607,0.08,99.05 
4/1/2020,2498.08,2470.5,3.30E+09,116.98126,119.20405,0.06,99.67 
4/2/2020,2458.54,2526.9,3.59E+09,133.46808,105.27936,0.05,100.18 
4/3/2020,2514.92,2488.65,3.38E+09,153.35583,96.259576,0.05,100.58 
4/6/2020,2578.28,2663.68,3.55E+09,122.73293,126.90638,0.05,100.69 
4/7/2020,2738.65,2659.41,3.91E+09,78.851913,117.67759,0.05,99.98 
4/8/2020,2685,2749.98,3.25E+09,136.50317,112.23173,0.05,100.12 
4/9/2020,2776.99,2789.82,4.38E+09,176.13301,97.684484,0.05,99.52 
4/13/2020,2782.46,2761.63,2.93E+09,129.62986,88.006323,0.05,99.35 
4/14/2020,2805.1,2846.06,3.09E+09,71.226381,88.744215,0.05,98.89 
4/15/2020,2795.64,2783.36,2.89E+09,150.79995,87.336143,0.05,99.46 
4/16/2020,2799.34,2799.55,2.88E+09,187.01854,72.287429,0.05,100.03 
4/17/2020,2842.43,2874.56,3.22E+09,209.73107,74.748286,0.05,99.78 
4/20/2020,2845.62,2823.16,2.90E+09,146.46069,67.875524,0.05,99.96 
4/21/2020,2784.81,2736.56,2.82E+09,104.45229,77.270349,0.05,100.26 
4/22/2020,2787.89,2799.31,2.81E+09,150.29596,77.693566,0.05,100.39 
4/23/2020,2810.42,2797.8,3.20E+09,177.52336,68.675711,0.04,100.43 
4/24/2020,2812.64,2836.74,2.99E+09,199.65582,62.767141,0.05,100.38 
4/27/2020,2854.65,2878.48,2.89E+09,134.06957,58.838094,0.04,100.04 
4/28/2020,2909.96,2863.39,3.15E+09,103.15526,59.372062,0.04,99.87 
4/29/2020,2918.46,2939.51,3.68E+09,154.58871,70.071375,0.04,99.57 
4/30/2020,2930.91,2912.43,3.62E+09,177.17963,62.39425,0.05,99.02 
5/1/2020,2869.09,2830.71,2.64E+09,206.95614,71.8695,0.05,98.80 
5/4/2020,2815.01,2842.74,2.62E+09,120.99484,63.376333,0.05,99.48 
5/5/2020,2868.88,2868.44,2.85E+09,97.939577,60.747556,0.05,99.71 
5/6/2020,2883.14,2848.42,2.70E+09,143.32994,54.985037,0.05,100.09 
5/7/2020,2878.26,2881.19,2.87E+09,179.14853,54.490025,0.05,99.89 
5/8/2020,2908.83,2929.8,2.70E+09,206.26182,53.316683,0.05,99.73 
5/11/2020,2915.46,2930.32,2.60E+09,142.21155,49.147789,0.05,100.24 
5/12/2020,2939.5,2870.12,2.66E+09,104.1305,58.175193,0.05,99.93 
5/13/2020,2865.86,2820,3.54E+09,135.49967,65.780128,0.05,100.24 
5/14/2020,2794.54,2852.5,3.34E+09,178.81348,72.573419,0.05,100.47 
5/15/2020,2829.95,2863.7,3.29E+09,201.77026,64.458946,0.05,100.40 
5/18/2020,2913.86,2953.91,3.64E+09,138.43517,77.769297,0.05,99.67 
5/19/2020,2948.59,2922.94,2.85E+09,108.027,65.799532,0.05,99.37 
5/20/2020,2953.63,2971.61,2.85E+09,147.7134,62.983021,0.05,99.12 
5/21/2020,2969.95,2948.51,2.78E+09,182.12884,55.298681,0.05,99.37 
5/22/2020,2948.05,2955.45,2.18E+09,204.90926,44.58912,0.05,99.86 
5/26/2020,3004.08,2991.77,3.35E+09,101.64507,51.81608,0.05,98.91 
5/27/2020,3015.65,3036.13,3.65E+09,87.101789,56.71072,0.05,99.06 
5/28/2020,3046.61,3029.73,3.14E+09,148.08964,52.897147,0.05,98.38 
5/29/2020,3025.17,3044.31,4.37E+09,194.32761,52.118098,0.05,98.34 
6/1/2020,3038.78,3055.73,2.49E+09,148.31332,44.958732,0.05,97.83 
6/2/2020,3064.78,3080.82,2.80E+09,115.15384,39.782488,0.06,97.67 
6/3/2020,3098.9,3122.87,3.15E+09,152.89925,43.228325,0.06,97.28 
6/4/2020,3111.56,3112.35,3.73E+09,193.01518,41.652217,0.06,96.68 
6/5/2020,3163.84,3193.93,4.79E+09,226.13836,60.891478,0.07,96.94 
6/8/2020,3199.92,3232.39,3.71E+09,165.15788,53.660985,0.07,96.62 
6/9/2020,3213.32,3207.18,3.17E+09,132.18853,48.867324,0.07,96.32 
6/10/2020,3213.42,3190.14,3.58E+09,163.3393,46.504882,0.08,95.96 
6/11/2020,3123.53,3002.1,4.12E+09,183.8065,94.553255,0.08,96.73 
6/12/2020,3071.04,3041.31,3.38E+09,211.56419,97.685503,0.08,97.32 
6/15/2020,2993.76,3066.59,3.21E+09,149.48645,103.157,0.09,96.68 
6/16/2020,3131,3124.74,3.29E+09,123.54957,97.724668,0.09,96.96 
6/17/2020,3136.13,3113.49,2.48E+09,162.19289,76.193112,0.09,97.16 
6/18/2020,3101.64,3115.34,2.41E+09,202.8863,59.625408,0.09,97.42 
6/19/2020,3140.29,3097.74,5.00E+09,221.53488,63.890272,0.09,97.62 
6/22/2020,3094.42,3117.86,2.57E+09,158.81402,56.436848,0.08,97.04 
6/23/2020,3138.7,3131.29,2.74E+09,130.34673,49.971232,0.08,96.69 
6/24/2020,3114.4,3050.33,3.22E+09,158.98447,66.367488,0.08,97.15 
6/25/2020,3046.6,3083.76,2.74E+09,197.49735,64.991659,0.08,97.43 
